C.O.;Factura electronica;Tipo de documento;Consecutivo;Fecha;Estado Facturación electronica;Naturaleza de la venta;Tipo tercero cliente;Tipo documento tercero cliente;documento tercero cliente;Razon social cliente factura;SUCURSAL DE FACTURA;Moneda local;Valor bruto local;Valor descuentos local;Valor subtotal local;Valor impuestos local;Valor neto local;Valor impuestos;Valor neto;Valor subtotal;documento vendedor;Notas del documento
C08;Confirmados;FE;17225;31/01/2025;Confirmada;contado;Persona juridica;nit;801000098;DOFI;8;COP;$8,314,000.07;$0.07;$8,314,000.07;$0.07;$8,314,000.07;$0.07;$8,314,000.00;$8,314,000.00;41895609;OBSERVACIONES
C09;Confirmados;FE;17226;1/02/2025;Confirmada;contado;Persona juridica;nit;801000099;DOFI;9;COP;$8,314,000.08;$0.08;$8,314,000.08;$0.08;$8,314,000.08;$0.08;$8,314,000.00;$8,314,000.00;41895610;OBSERVACIONES
C10;Confirmados;FE;17227;2/02/2025;Confirmada;contado;Persona juridica;nit;801000100;DOFI;10;COP;$8,314,000.09;$0.09;$8,314,000.09;$0.09;$8,314,000.09;$0.09;$8,314,000.00;$8,314,000.00;41895611;OBSERVACIONES
C11;Confirmados;FE;17228;3/02/2025;Confirmada;contado;Persona juridica;nit;801000101;DOFI;11;COP;$8,314,000.10;$0.10;$8,314,000.10;$0.10;$8,314,000.10;$0.10;$8,314,000.00;$8,314,000.00;41895612;OBSERVACIONES
C12;Confirmados;FE;17229;4/02/2025;Confirmada;contado;Persona juridica;nit;801000102;DOFI;12;COP;$8,314,000.11;$0.11;$8,314,000.11;$0.11;$8,314,000.11;$0.11;$8,314,000.00;$8,314,000.00;41895613;OBSERVACIONES
C13;Confirmados;FE;17230;5/02/2025;Confirmada;contado;Persona juridica;nit;801000103;DOFI;13;COP;$8,314,000.12;$0.12;$8,314,000.12;$0.12;$8,314,000.12;$0.12;$8,314,000.00;$8,314,000.00;41895614;OBSERVACIONES
C14;Confirmados;FE;17231;6/02/2025;Confirmada;contado;Persona juridica;nit;801000104;DOFI;14;COP;$8,314,000.13;$0.13;$8,314,000.13;$0.13;$8,314,000.13;$0.13;$8,314,000.00;$8,314,000.00;41895615;OBSERVACIONES
C15;Confirmados;FE;17232;7/02/2025;Confirmada;contado;Persona juridica;nit;801000105;DOFI;15;COP;$8,314,000.14;$0.14;$8,314,000.14;$0.14;$8,314,000.14;$0.14;$8,314,000.00;$8,314,000.00;41895616;OBSERVACIONES
C16;Confirmados;FE;17233;8/02/2025;Confirmada;contado;Persona juridica;nit;801000106;DOFI;16;COP;$8,314,000.15;$0.15;$8,314,000.15;$0.15;$8,314,000.15;$0.15;$8,314,000.00;$8,314,000.00;41895617;OBSERVACIONES
C17;Confirmados;FE;17234;9/02/2025;Confirmada;contado;Persona juridica;nit;801000107;DOFI;17;COP;$8,314,000.16;$0.16;$8,314,000.16;$0.16;$8,314,000.16;$0.16;$8,314,000.00;$8,314,000.00;41895618;OBSERVACIONES
C18;Confirmados;FE;17235;10/02/2025;Confirmada;contado;Persona juridica;nit;801000108;DOFI;18;COP;$8,314,000.17;$0.17;$8,314,000.17;$0.17;$8,314,000.17;$0.17;$8,314,000.00;$8,314,000.00;41895619;OBSERVACIONES
C19;Confirmados;FE;17236;11/02/2025;Confirmada;contado;Persona juridica;nit;801000109;DOFI;19;COP;$8,314,000.18;$0.18;$8,314,000.18;$0.18;$8,314,000.18;$0.18;$8,314,000.00;$8,314,000.00;41895620;OBSERVACIONES
C20;Confirmados;FE;17237;12/02/2025;Confirmada;contado;Persona juridica;nit;801000110;DOFI;20;COP;$8,314,000.19;$0.19;$8,314,000.19;$0.19;$8,314,000.19;$0.19;$8,314,000.00;$8,314,000.00;41895621;OBSERVACIONES
C21;Confirmados;FE;17238;13/02/2025;Confirmada;contado;Persona juridica;nit;801000111;DOFI;21;COP;$8,314,000.20;$0.20;$8,314,000.20;$0.20;$8,314,000.20;$0.20;$8,314,000.00;$8,314,000.00;41895622;OBSERVACIONES
C22;Confirmados;FE;17239;14/02/2025;Confirmada;contado;Persona juridica;nit;801000112;DOFI;22;COP;$8,314,000.21;$0.21;$8,314,000.21;$0.21;$8,314,000.21;$0.21;$8,314,000.00;$8,314,000.00;41895623;OBSERVACIONES
C23;Confirmados;FE;17240;15/02/2025;Confirmada;contado;Persona juridica;nit;801000113;DOFI;23;COP;$8,314,000.22;$0.22;$8,314,000.22;$0.22;$8,314,000.22;$0.22;$8,314,000.00;$8,314,000.00;41895624;OBSERVACIONES
C24;Confirmados;FE;17241;16/02/2025;Confirmada;contado;Persona juridica;nit;801000114;DOFI;24;COP;$8,314,000.23;$0.23;$8,314,000.23;$0.23;$8,314,000.23;$0.23;$8,314,000.00;$8,314,000.00;41895625;OBSERVACIONES
C25;Confirmados;FE;17242;17/02/2025;Confirmada;contado;Persona juridica;nit;801000115;DOFI;25;COP;$8,314,000.24;$0.24;$8,314,000.24;$0.24;$8,314,000.24;$0.24;$8,314,000.00;$8,314,000.00;41895626;OBSERVACIONES
